speedX,angle,trackPos,distFromStart,track_0,track_4,track_9,track_14,track_18,delta_track,steer,accel,brake,split
84.5616,0.409023,-0.244692,2480.42,13.5021,27.6673,29.7679,32.0132,4.87294,-8.62916,-0.4001589090909091,7.714609393436919e-26,8.390264194096167e-23,train
81.2852,0.672556,1.19365,3287.23,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.4098391818181818,5.73395589473404e-18,2.1658093277448598e-11,train
89.3497,0.615339,-0.464338,2482.46,16.0666,31.9462,34.3137,7.89766,3.26105,-12.80555,-0.0738406799999999,0.0133602790437592,1.4566812841158886e-23,train
137.034,0.0140079,-0.572132,388.167,13.5308,36.406,30.6846,24.4028,3.58078,-9.950019999999999,0.2451268181818182,2.389169488051143e-07,0.0490222772958722,train
279.392,-0.010525,-0.686196,1359.35,14.1596,160.674,138.92,31.7758,2.69119,-11.468409999999999,-0.1625,0.9999999999999998,7.341497155543218e-54,train
111.412,0.122399,-0.108147,29.9073,10.9852,79.6557,39.2336,26.1106,6.73371,-4.25149,0.12,0.9999999999999998,0.0,train
160.374,0.0929538,-0.433233,1040.92,12.4306,33.9678,38.2245,43.8608,4.51121,-7.91939,-0.1761677272727273,0.9436896353655436,2.4953780660740884e-14,train
76.837,-0.0284484,-0.474558,2510.47,11.2393,29.7982,37.2865,50.0622,4.88107,-6.35823,-0.4229815909090909,0.68359375,1.1585797947240838e-25,train
115.915,-0.771532,1.50887,3249.18,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.3075238636363636,1.804051229277096e-13,3.5290256654259072e-09,train
164.597,-0.145167,0.294572,820.951,5.27779,19.8406,29.2591,56.2221,13.0025,7.724709999999999,-0.1636906818181817,0.9999994435293064,1.308571643350546e-25,train
227.355,-0.104393,-0.490409,2000.11,11.5098,109.794,72.2796,50.2969,4.85653,-6.65327,0.1625,0.9999986710608272,1.2734333466079457e-22,train
137.054,0.0975001,-1.00146,783.782,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.24,0.999435592406382,3.245402162421707e-17,train
112.252,0.03599,0.76667,455.297,2.11128,33.1562,30.3213,27.5177,13.1959,11.084620000000001,0.3183463636363636,3.164027394651601e-06,3.4913154230315806e-20,train
218.722,-0.0440559,-0.653251,1876.72,13.449,66.9282,59.303,48.6207,3.08094,-10.36806,0.1625,0.0010033912775533,0.9993400256409164,train
199.59,-0.210237,-0.29512,1078.19,9.26073,28.1137,37.2355,55.52,7.77483,-1.4859000000000009,-0.1625,0.9999986576080016,9.14221874081726e-18,train
117.368,-0.265314,0.00116221,421.078,7.16751,35.8181,32.3872,29.126,10.1295,2.96199,0.3032309090909091,0.9683236479759458,2.515521899773458e-12,train
117.726,-0.0350465,0.790212,443.832,1.75332,32.9031,29.7788,27.3179,13.9304,12.17708,0.3021731818181818,4.063434153464402e-06,0.5774999999999999,train
257.834,0.0746141,-0.615505,321.147,14.8569,96.8108,30.9474,16.0289,3.0441,-11.8128,0.0,0.9999999999999998,0.0,train
13.8998,0.00889891,0.332525,3599.08,5.71479,89.5868,61.2031,46.6503,11.2076,5.4928099999999995,0.0,0.999999997605432,0.0,train
160.601,0.0376745,-0.625959,89.2483,14.3473,128.554,59.5835,20.9194,3.06073,-11.286570000000001,0.12,0.9999999999999998,0.0,train
170.807,-0.138508,0.749418,820.174,1.88417,7.26965,10.8897,21.9037,17.4156,15.531430000000002,-0.1625,0.9999999681115392,1.8803635832000369e-25,train
106.944,0.0185255,0.315806,442.034,6.43152,26.61,24.0943,21.8325,10.1427,3.7111799999999997,0.3340290909090909,7.636651598176906e-17,9.677980731992962e-05,train
211.077,0.0421538,1.03164,1937.23,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.1625,0.9999943432466978,3.3320137827550856e-11,train
99.8865,-0.161335,0.744654,480.676,1.93071,31.997,29.6081,27.415,14.2503,12.31959,0.3548807954545455,5.746094599593516e-05,2.5486855757056404e-25,train
99.9287,-0.158946,0.553096,491.047,3.41039,35.1932,32.0526,29.1963,13.259,9.84861,0.3547561136363636,0.9986621449632622,3.5991049096594715e-21,train
216.183,0.144504,-0.184215,1968.18,11.8835,60.1345,33.9906,23.0144,6.10647,-5.77703,0.1625,0.997645426482758,9.315988538792669e-18,train
194.221,-0.112515,-0.644922,1063.06,12.0099,27.7135,33.0398,41.1486,3.54765,-8.462250000000001,-0.1625,0.9999982363594934,1.1436987551551064e-16,train
102.122,-0.0337132,0.868732,451.46,1.0904,36.0327,33.0367,30.0104,14.4892,13.3988,0.3482759090909091,8.559011961199857e-09,1.00675446077487e-08,train
99.1809,-0.0203251,0.0932223,449.984,8.28606,27.5401,23.8873,21.1797,8.79081,0.5047499999999996,0.3569655227272728,4.30046692105053e-18,2.053667196306058e-07,train
180.3,0.0414502,0.545873,2767.6,4.11882,60.408,43.845,34.5423,12.0601,7.94128,0.1625,0.9999924575611288,1.123566923881832e-85,train
