time,steer,accel,brake,gear,speedX,speedY,speedZ,frontLeftSpin,frontRightSpin,rearLeftSpin,rearRightSpin,trackPos,distFromStart,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,focus_0,focus_1,focus_2,focus_3,focus_4
27.474,-0.1625,0.9999999999999998,9.862116322299456e-42,5,260.019,0.0561911,1.64681,238.131,238.923,233.745,233.745,-0.88574,1263.48,-0.015225,17671.9,0.0,15.4587,29.1197,39.4127,53.3996,68.1774,79.2249,86.7467,94.6227,101.195,108.756,117.549,127.9,145.904,173.915,200.0,7.43187,3.68581,2.23193,0.986038,-1.0,-1.0,-1.0,-1.0,-1.0
18.058,-0.2876486363636363,4.2570097733641005e-09,6.977555539426704e-08,4,122.642,11.3295,0.154598,110.3,113.395,105.767,109.207,0.559224,733.906,0.366314,9043.6,0.0,5.80856,17.8424,25.2211,31.4007,35.3333,37.34,38.4182,39.3652,40.0432,40.7224,41.4027,42.0837,43.0381,44.1297,46.1767,50.2569,56.9498,19.0461,10.504,-1.0,-1.0,-1.0,-1.0,-1.0
27.122,0.0,0.9999999999999998,1.0965812333521513e-36,4,248.041,0.0795819,2.08335,227.617,227.593,223.454,223.454,-0.698222,1215.57,0.0888397,18805.4,0.0,15.468,33.8782,48.3366,64.8227,77.9229,86.2154,91.4305,96.5568,100.594,104.993,109.803,115.083,123.408,19.0328,13.7722,9.44949,6.41373,4.51826,2.36647,-1.0,-1.0,-1.0,-1.0,-1.0
19.51,-0.2299079545454545,0.9437041247471992,9.380423418725267e-20,4,142.185,6.23212,0.129812,128.207,130.37,133.049,133.049,-0.153092,799.538,-0.218938,11198.2,0.0,7.98939,11.5425,13.6441,15.8532,17.6319,18.7006,19.3309,19.9217,20.3682,20.8367,21.3291,21.8469,22.6186,23.5745,25.618,31.0654,48.5553,200.0,11.2463,-1.0,-1.0,-1.0,-1.0,-1.0
32.606,0.2339793181818182,0.8665203240115521,9.588009860009472e-21,4,140.807,-6.30633,5.90587,129.576,127.026,130.457,130.457,0.852194,1551.42,0.00522184,10979.4,0.0,1.27069,2.97688,5.63166,50.2717,45.6362,43.4947,42.3994,41.4674,40.8165,40.178,39.5515,38.9371,38.0966,37.1642,35.4944,32.4472,28.1523,23.508,14.6065,-1.0,-1.0,-1.0,-1.0,-1.0
64.096,0.3290536363636363,3.19997160709948e-11,4.355661403395758e-07,4,108.628,-9.01707,-0.965762,101.085,97.0646,97.5897,93.3162,-0.160832,3237.41,-0.443836,8031.11,24.0,7.39201,9.94947,11.4595,12.9879,14.2993,15.3013,16.0548,17.0185,18.4397,40.03,39.8194,39.6062,39.3033,38.9509,38.2727,36.8486,34.2871,30.356,14.6311,-1.0,-1.0,-1.0,-1.0,-1.0
53.326,0.1625,0.0001961558277014,1.1310768110762659e-63,4,175.2,-6.96329,-12.8625,162.01,159.588,154.924,151.987,-0.199717,2675.39,-0.169087,12911.8,7.0,9.07331,19.707,66.7325,56.2862,50.2315,47.2951,45.7592,44.4342,43.4994,42.5746,41.6605,40.7573,39.512,38.1173,35.59,30.9098,24.3305,17.6646,7.85617,-1.0,-1.0,-1.0,-1.0,-1.0
13.47,0.12,0.999999681444068,1.4360138191662937e-43,4,115.567,-1.57151,0.298799,105.991,105.677,107.834,107.834,0.604342,531.128,0.135636,9076.36,0.0,4.10872,53.1191,118.371,58.3711,45.2342,40.7007,38.6457,37.0162,35.9371,34.9217,33.9647,33.0612,31.878,30.6309,28.5517,25.1854,21.1597,17.4768,11.5783,-1.0,-1.0,-1.0,-1.0,-1.0
48.726,-0.04053288,0.9249153137207032,7.013905217122998e-11,4,77.9871,-0.0642912,-6.01121,70.7891,71.5564,71.8592,71.8592,0.226433,2475.26,0.337774,6049.12,4.0,10.5429,21.3912,25.1709,28.0669,29.8819,30.8093,31.31,31.7518,32.0692,32.3882,32.7086,33.0305,33.4834,34.005,34.9945,37.015,40.5101,12.1866,8.16281,-1.0,-1.0,-1.0,-1.0,-1.0
49.446,-0.4105456136363636,0.0002357229787609,1.290745833595766e-17,4,81.0461,10.7686,-13.9429,71.0605,75.6868,69.0589,74.0872,-0.548554,2492.5,0.242691,6021.92,4.0,13.4657,20.555,23.6084,26.1823,27.8986,28.807,29.3137,29.7766,30.1192,30.4721,30.8357,31.2105,31.7549,32.4068,33.7226,36.7842,43.6493,6.76888,3.27006,-1.0,-1.0,-1.0,-1.0,-1.0
48.366,-0.4096116818181818,2.451994116862957e-30,9.425153983889989e-24,4,81.3622,1.03636,-14.8045,72.4009,75.8005,71.0006,71.2064,-0.56878,2486.13,0.229479,5982.83,24.0,12.8602,18.3101,20.5543,22.4183,23.6509,24.3011,24.6572,24.9741,25.2035,25.4356,25.6705,25.9081,26.2455,26.6376,27.3918,28.9757,31.8508,36.6166,3.2039,-1.0,-1.0,-1.0,-1.0,-1.0
